Name,Link,Documents,Citations,H-index,Coauthor1,CoauthorNo1,Coauthor2,CoauthorNo2,Coauthor3,CoauthorNo3,Coauthor4,CoauthorNo4,Coauthor5,CoauthorNo5,Coauthor6,CoauthorNo6,Coauthor7,CoauthorNo7,Coauthor8,CoauthorNo8,Topic1,Topic2,Topic3,Topic4,Topic5,article,conference paper,book chapter,editorial,review,book,erratum,letter,Publications2021,Publications2020,Publications2019,Publications2018,Publications2017,Publications2016,Publications2015,Publications2014,Publications2013,Publications2012,Publications2011,Publications2010,Publications2009,Publications2008,Publications2007,Publications2006,Publications2005,Publications2004,Publications2003,Publications2002,Publications2001,Publications2000,Publications1999,Publications1998,Publications1997,Publications1996,Publications1995,Publications1994,Publications1993,Publications1992,Publications1991,Publications1990,Publications1989,Publications1988,Publications1987,Publications1986,Publications1985,Publications1984,Publications1983,Publications1982,Publications1981,Publications1980,Publications1979,Publications1978,Publications1977,Publications1976,Publications1975,Publications1974,Publications1973,Publications1972,Publications1971,Publications1970,Citations2021,Citations2020,Citations2019,Citations2018,Citations2017,Citations2016,Citations2015,Citations2014,Citations2013,Citations2012,Citations2011,Citations2010,Citations2009,Citations2008,Citations2007,Citations2006,Citations2005,Citations2004,Citations2003,Citations2002,Citations2001,Citations2000,Citations1999,Citations1998,Citations1997,Citations1996,Citations1995,Citations1994,Citations1993,Citations1992,Citations1991,Citations1990,Citations1989,Citations1988,Citations1987,Citations1986,Citations1985,Citations1984,Citations1983,Citations1982,Citations1981,Citations1980,Citations1979,Citations1978,Citations1977,Citations1976,Citations1975,Citations1974,Citations1973,Citations1972,Citations1971,Citations1970
"Radwan, Ahmed G.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=7103379659,365,6357,45,"Soliman, Ahmed M.",72,"Fouda, Mohammed E.",70,"Elwakil, Ahmed S.",55,"Salama, Khaled Nabil",36,"AbdelAty, Amr M.",32,"Sayed, Wafaa S.",32,"Tolba, Mohamed F.",32,"Abd-El-Hafiz, Salwa K.",28,Fractional Order; Differentiators; Low Pass Filters,Memristors; RRAM; Chaotic Circuit,Chaotic Attractor; Chua's Circuit; Scroll,Image Encryption; Chaotic Map; Hyperchaotic System,Fractional-Order System; Projective Synchronization; Memristors,169,164,18,7,5,1,1,0,15,39,60,44,38,41,29,15,23,19,24,5,2,3,2,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,1166,1056,1075,765,526,380,220,273,143,100,52,14,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tawfik, Abdel Nasser",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=36635081200,171,3598,30,"Magdy, Niseem",49,"Rogachevskiy, Oleg V.",45,"Adamczyk, Leszek",44,"Adkins, J. K.",44,"Agakishiev, Geydar",44,"Ahammed, Zubayer",44,"Aparin, Alexey",44,"Aschenauer, Elke Caroline",44,Ionic Collisions; Relativistic Heavy-ion Collisions; Quark-Gluon Plasma,Ionic Collisions; Strangeness; Hadrons,Quantum Chromodynamics; Lattice QCD; Ionic Collisions,Ionic Collisions; Quark-Gluon Plasma; Relativistic Heavy-ion Collisions,Quantum Chromodynamics; Mesons; Chiral Symmetry,153,13,0,0,5,0,0,0,4,6,8,13,20,32,25,11,9,7,6,3,1,0,0,2,4,3,2,0,2,1,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,581,515,502,361,313,188,177,130,108,62,36,33,24,37,70,78,36,10,11,12,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madian, Ahmed H.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=15049578500,158,1361,20,"Soliman, Ahmed M.",45,"Amer, Hassanein Hamed",18,"Tolba, Mohamed F.",18,"Abdelhalim, Mohamed Bakr",15,"Ismail, Samar Moustafa",13,"Abu-ElYazeed, Mohamed Fathy",12,"Elwakil, Ahmed S.",11,"Amer, Sherif H.",9,Fractional Order; Differentiators; Low Pass Filters,Memristors; RRAM; Chaotic Circuit,Chaotic Attractor; Chua's Circuit; Scroll,Transconductance; Differencing; All-pass Filters,Image Encryption; Chaotic Map; Hyperchaotic System,42,110,2,2,1,0,1,0,6,13,27,16,14,22,11,7,6,7,7,8,3,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,342,291,249,85,53,30,28,43,13,20,11,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Said, Lobna A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=36740094700,115,1218,20,"Soliman, Ahmed M.",39,"Fouda, Mohammed E.",17,"Tolba, Mohamed F.",17,"Elwakil, Ahmed S.",14,"Abu-ElYazeed, Mohamed Fathy",13,"Ismail, Samar Moustafa",13,"Khalil, Nariman A.",12,"AbdelAty, Amr M.",11,Fractional Order; Differentiators; Low Pass Filters,Memristors; RRAM; Chaotic Circuit,Chaotic Attractor; Chua's Circuit; Scroll,Transconductance; Differencing; All-pass Filters,Fractional-Order System; PID Controller; Robust Stabilization,50,61,2,0,1,0,1,0,10,23,35,16,13,5,6,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,401,303,206,63,19,3,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khalil, Tarek M.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=7005286039,95,1047,18,"Abdel-Moty, Elsayed",18,"Fishbain, David A.",14,"Cutler, Robert Brian",11,"Waly, Sherif M.",10,"Genaidy, Ash M.",9,"Rosomoff, Rennée Steele",9,"Steele-Rosomoff, Renee",9,"Goldberg, Myron L.",6,Entrepreneurial Intention; Effectuation; Opportunity Recognition,Open Government; E-Participation; E-Governance,Foresight; Innovation Policy; Technology and Innovation,Asian Financial Crisis; Protectionism; ASEAN Economic Community,No topic,61,29,1,0,3,0,0,1,0,3,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,2,2,1,1,0,2,0,1,3,2,4,3,2,1,4,0,8,5,5,1,7,1,0,2,0,1,1,4,3,1,6,8,3,0,0,10,16,26,15,26,21,25,23,33,29,20,30,33,24,34,52,35,50,67,52,50,47,34,45,45,53,29,11,18,18,11,8,7,4,11,3,1,3,4,5,4,6,1,1,1,3,1,1,1,0,0,0
"Ismail, Tawfik",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=36009912100,81,210,8,"Nasr, Mohamed El Saeed",7,"Selmy, Hossam A.I.",7,"Fahim, Irene Samy",6,"Gabran, Salam R.I.",6,"Singh, Ghanshyam",6,"Al-Nahhal, Mohamed",5,"Alshaer, Nancy",5,"Badr, Yahia Abdel Hamid",5,Free-Space Optical Communication; Atmospheric Turbulence; Meije G-Function,Network on Chip; Fault-Tolerant Routing; Virtual Channel,Visible Light Communication; Optical Wireless; Orthogonal Frequency Division Multiplexing (OFDM),Electrocardiograph; Compressed Sensing; Data Compression,Injection Locking; Amplitude Shift Keying; Quantum Dash Lasers,24,56,0,1,0,0,0,0,6,24,12,12,4,10,7,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,55,46,29,14,11,7,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El-Sherif, Amr A.",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=23566337700,63,397,10,"Mohamed, Amr",13,"Sultan, Ahmed K.",7,"El-Khamy, Said E.",6,"Liu, K. J.R.",6,"Afify, Laila Hesham",5,"Moussa, Karim H.",5,"Arafa, Ahmed M.",4,"Awad, Alaa",4,Cognitive Radio Networks; Random Access; Carrier Sense Multiple Access,Multiple-Input Multiple-Output (MIMO) System; Precoding; MIMO System,Caching; Radio Access Networks; Zipf Distribution,Cellular Networks; Power Allocation; Relay Selection,Amplify-And-Forward; Relay Selection; Cooperative Communication,15,48,0,0,0,0,0,0,2,3,8,5,5,6,5,8,5,4,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,53,35,50,43,42,43,34,21,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soltan, Ahmed",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=26025748900,63,691,12,"Soliman, Ahmed M.",14,"Yakovlev, Alexandre",9,"Dehkhoda, Fahimeh",8,"Maaskant, Pleun P.",7,"Luo, Junwen",6,"Ramezani, Reza",6,"Bunnam, Thanasin",5,"Constandinou, Timothy G.",5,Channelrhodopsins; Optogenetics; Designer Drugs,Fractional Order; Differentiators; Low Pass Filters,Chopper Amplifiers; Front-End; CMOS,Memristors; RRAM; Chaotic Circuit,Approximate Design; Voltage Scaling; Multipliers,22,41,0,0,0,0,0,0,0,10,14,12,7,8,3,2,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,123,157,137,96,73,34,8,12,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azer, Marianne Amir",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=24476232400,58,214,9,"Abdelbaki, Nashwa",3,"Allam, Mahmoud",3,"El-Zoghby, Ayman M.",3,"Abdelrazek, Loav",2,"Abo-Soliman, Mohamed A.",2,"Abuzaid, Mohamad M.",2,"ElSayed, Mahmoud Said",2,"ElShafee, Ahmed M.",2,Fog Computing; Blockchain; Internet of Things,Vehicular Ad Hoc Networks; Location Privacy; Revocation,SCADA System; Supervisory Control; Intrusion Detection,Stream Ciphers; Wi-Fi; Denial-Of-Service Attack,Connected Vehicles; CAN Bus; Electronic Control,3,55,0,0,0,0,0,0,2,5,8,13,1,2,1,1,6,2,4,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,33,27,14,14,11,6,8,6,21,14,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yousef, Ahmed Hassan",https://08105ofxv-1103-y-https-www-scopus-com.mplbci.ekb.eg/authid/detail.uri?authorId=57217371978,50,1261,9,"Medhat, Walaa",4,"Mohamed, Hoda Korashy",4,"Sheirah, Mohammed A.H.",4,"Abdullah, Bassem A.",3,"El-Kassas, Wafaa S.",3,"El-Lateef, Tamer Abd",3,"Fahmy, Ahmed F.",3,"Hamza, Rameez B.",3,Timetabling Problem; Hyper-heuristics; University Examination,Model-Driven Development; Model Driven Architecture; Mobile Applications,Sentiment Classification; Opinion Mining; Product Review,Software Metrics; Maintainability; Object-Oriented,Lane Detection; Vanishing Point; Driver Assistance,12,38,0,0,0,0,0,0,0,8,7,6,3,2,3,5,3,0,3,2,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,282,307,237,153,102,47,7,8,15,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
